Joseph Saul Steinberg > Jefferies Financial Group Inc. (NYSE:JEF) > Relationship GridFilter Options: Board Members and Key Executives with Personal Relationships (Including Priors),,
,,
1st Degree Table: 329 Connections,,
"Lipson, Michael I.",Capmark Finance LLC - Former Director,"Berkadia Commercial Mortgage LLC (Wheeler, Justin R.)"
"Lipstein MHA, Steven H.","BJC Health System, Inc. - Director","National Multiple Sclerosis Society (Gillespie, George J.)"
"Lipton, David ",International Monetary Fund - First Deputy Managing Director,"Citigroup Inc. (NYSE:C) (Zankel, Arthur)"
"Lipton, Jeffrey Marc",NOVA Chemicals Corporation - Former Chief Executive Officer,"Hercules Incorporated (Holiday, Edith E.)"
"Lipton, Martin ","Wachtell, Lipton, Rosen & Katz LLP - Partner","The Partnership for New York City, Inc. (Robinson, James D.)"
"Lisimaque, Gilles M.","IDentification Technology Partners, Inc. - Partner and Director","BrightVolt, Inc. (Ruch, Joshua )"
"Liska, Paul J.",RenaissanceRe Holdings Ltd. - Executive Officer,"RenaissanceRe Holdings Ltd. (NYSE:RNR) (Tanner, David Allen), YRC Worldwide Inc. (NasdaqGS:YRCW) (Davis, Eugene Irwin)"
"Lisle, William ",AIA Australia Limited - Director & Regional Chief Executive,"LIMRA Inc. (Parker, Bruce Gilbert)"
"Lister, Amanda",Hospital for Special Surgery - Former Member of the Advisory Board,"Hospital for Special Surgery, Inc. (Benson, James Michael)"
"Lister, Cheryl-Ann ",Bermuda Monetary Authority - Former Chairman of the Board and Chief Executive Officer,"AXIS Capital Holdings Limited (NYSE:AXS) (Schoen, Scott A.)"
"Lister, John Robert",Old Mutual Limited - Independent Non-Executive Director,"Old Mutual Ltd (JSE:OMU) (Parker, Bruce Gilbert), Old Mutual Ltd (JSE:OMU) (Ward, Barry Gordon)"
"Lister, Michael D.","Jackson Hewitt Tax Service Inc. - Former Executive Chairman, Chief Executive Officer and Chief Executive Officer of Jackson Hewitt Inc","Just Marketing, Inc. (Hussey, Kent J.)"
"Lister, Thomas",Hospital for Special Surgery - Trustee,"Hospital for Special Surgery, Inc. (Benson, James Michael)"
"Lister, Thomas H.",Permira Advisers Ltd. - Co-Managing Partner and Director,"Freescale Holdings L.P. (Quella, James Andrew), Freescale Semiconductor, Ltd. (Chu, Chinh E.), Freescale Semiconductor, Ltd. (Quella, James Andrew), McLeodUSA, LLC (Davis, Eugene Irwin), NXP USA, Inc. (Chu, Chinh E.) and 1 Other Connection"
"Lithander, Susanne ",NCC AB (publ) - Chief Financial Officer,"AB Svensk Exportkredit (publ) (Thorstensson, Göran Ake)"
"Little III, Selby F.","Labor Smart, Inc. - Member of Advisory Board","Polaris Infrastructure Inc. (TSX:PIF) (Gilmore, Robert Russell)"
"Little, Melanie A.","Magellan Midstream Partners, L.P. - Senior Vice President of Operations & EHS&S- Magellan GP, LLC","Magellan Midstream Partners, L.P. (NYSE:MMP) (Bailey, Keith E.), Magellan Midstream Partners, L.P. (NYSE:MMP) (Malcolm, Steven J.)"
"Little, Paul F.",Echelon General Insurance Company - Lead Director,"Nautilus, Inc. (NYSE:NLS) (Siegert, Marvin G.)"
"Little, Rod R.","Edgewell Personal Care Company - President, CEO & Director","Edgewell Personal Care Company (NYSE:EPC) (DeFeo, Neil P.)"
"Littlechild Ph.D., John W.",HealthCare Ventures LLC - Managing Director,"Diacrin, Inc. (Ruch, Joshua )"
"Littlefair, Andrew J.","Clean Energy Fuels Corp. - Co-Founder, President, CEO & Director","Hilltop Holdings Inc. (NYSE:HTH) (Schoen, Scott A.)"
"Litwinski, Mozart",Ferrous Resources Limited - Former Chief Executive Officer and Director,"Ferrous Resources Limited (Toll, Gordon Leonard)"
"Litz, Marc E.","Lionbridge Technologies, Inc. - Former CFO & Senior VP","Lionbridge Technologies, Inc. (Quella, James Andrew)"
"Litzén, Ulla ",Sophiahemmet AB - Vice Chairman,"AB Electrolux (publ) (OM:ELUX B) (Lupo, John S.), Husqvarna AB (publ) (OM:HUSQ B) (Lumley, David R.)"
"Litzinger, Ronald L.","Edison Energy, LLC - Chairman","Associated Electric & Gas Insurance Services Limited (Bailey, Keith E.)"
"Liu, Andy ",Wildflower Brands Inc. - Member of Advisory Board,"Wildflower Brands Inc. (CNSX:SUN) (Pearce, Stephen W.)"
"Liu, Bing ","Zhongjin Gold Corp., Ltd. - Vice Chairman of the Board","China Gold International Resources Corp. Ltd. (TSX:CGG) (Kunz, Daniel James)"
"Liu, Chi Husan ","East West Bancorp, Inc. - Independent Director","East West Bancorp, Inc. (NasdaqGS:EWBC) (Miscoll, James P.)"
"Liu, Daoqi ",Jia Yao Holdings Limited - Former Chief Executive Officer and Executive Director,"NH Hotel Group, S.A. (BME:NHH) (Pélisson, Gilles Christian Gérard)"
"Liu, Guo Zhong","Hunan Valin Steel Co., Ltd. - Chairman of Supervisor Board","Hunan Valin Steel Co., Ltd. (SZSE:000932) (Cao, Huiquan )"
"Liu, Guoping ","Beijing Oriental Jicheng Co., Ltd. - Vice Chairman of the Board of Directors","African Minerals Limited (OTCPK:AMLZ.F) (Watling, Alan Stephen)"
"Liu, Hui ",Atalaya Mining Plc - Non-Independent Non-Executive Director,"Atalaya Mining Plc (AIM:ATYM) (Toll, Gordon Leonard)"
"Liu, Jason ",The SAVO Group Ltd. - Chief Executive Officer and Director,"Automic Software GmbH (Bourigeaud, Bernard André Joseph)"
"Liu, Ji Shen","Hunan Valin Steel Co., Ltd. - Former Employee Supervisor","Hunan Valin Steel Co., Ltd. (SZSE:000932) (Cao, Huiquan )"
"Liu, Lee ",IES Industries Inc. - Former Chairman & CEO,"Interstate Power and Light Company (Pyle, Judith D.), Wisconsin Power and Light Company (Pyle, Judith D.)"
"Liu, Qixiong","Hunan Valin Steel Co., Ltd. - Former Supervisor","Hunan Valin Steel Co., Ltd. (SZSE:000932) (Cao, Huiquan )"
"Liuzzi, Joseph Rocco",Finial Reinsurance Company - Former President,"Berkshire Hathaway Direct Insurance Company (Davis, Morgan Wesley), Commercial Casualty Insurance Company (Kensil, Brian Eugene), Commercial Casualty Insurance Company (Wasserman, Walter Neal)"
"Lively, Dorvin Donald","Planet Fitness, Inc. - President","Toys ""R"" Us, Inc. (Goldstein, Michael ), Toys ""R"" Us, Inc. (Matthews, Norman S.)"
"Liveris, Andrew N.",Public Investment Fund - Special Adviser,"Business Leaders for Michigan (Wagoner, G. Richard), Citigroup Inc. (NYSE:C) (Zankel, Arthur), WorleyParsons Limited (ASX:WOR) (Meurs, Peter Fletcher)"
"Livingston CPA, Philip B.",3K Limited Partnership - Managing Director,"Ambassadors Group Inc. (Walsh, Timothy Martin), Duff & Phelps Corporation (Matthews, Norman S.), Duff & Phelps Corporation (Schenk, Joseph Arthur)"
"Livingston Jr., Homer J.",Midwest Banc Holdings Inc. - Former Chairman of the Board,"Peoples Energy, LLC (Bailey, Keith E.)"
"Livingston, John T.",AECOM Capital - Chief Executive Officer,"AECOM (NYSE:ACM) (Schmitz, Clarence T.)"
"Livingston, Robert A.","Harbison-Fischer, Inc. - Chief Executive Officer of Dover Corporation and President of Dover Corporation","Amphenol Corporation (NYSE:APH) (Durham, G. Robert)"
"Livingstone, Catherine Brighid",Commonwealth Bank of Australia - Independent Chairman of the Board,"WorleyParsons Limited (ASX:WOR) (Meurs, Peter Fletcher)"
"Livni, Talia ",Lumenis Ltd. - External Director,"Lumenis Ltd. (Davis, Eugene Irwin)"
"Liwång, Bengt",AB Electrolux (publ) - Former Deputy Director,"AB Electrolux (publ) (OM:ELUX B) (Lupo, John S.)"
"Llopart Pérez, Juan ","GRUPO ZETA, S.A. - Managing Director of Spanish Media Group","NH Hotel Group, S.A. (BME:NHH) (Pélisson, Gilles Christian Gérard)"
"Lloyd, David ","Covestco-Seteura, LLC - Investment Professional","Arsenal Digital Solutions USA, Inc. (Ressner, Michael P.)"
"Lloyd, Gareth ",Element Capital Pty Ltd - Co-Founder,"Inca Minerals Limited (ASX:ICG) (Burston, Ian Fred)"
"Lloyd, Robert F.","CTO Realty Growth, Inc. - Former Director","Consolidated-Tomoka Land Co. (AMEX:CTO) (Jordan, James Edward)"
"Lloyd, Stuart",Biometrics Ltd - Former Executive Director,"Creat Resources Holdings Limited (Tanner, David Allen)"
"Lloyd, William J.","BrightVolt, Inc. - Member of Industry Advisory Board","BrightVolt, Inc. (Ruch, Joshua )"
"Lo, Hai-Yuan ",IQVIA Holdings Inc. - Former Director,"Ansell Limited (ASX:ANN) (Elliott, Herbert James)"
"Lo, Wa Kei ",China Zhongwang Holdings Limited - Independent Non-Executive Director,"G-Resources Group Limited (SEHK:1051) (Hegarty, Owen Leigh)"
"Loar, James","Cool Planet Energy Systems, Inc. - Chief Executive Officer and President","Cool Planet Energy Systems, Inc. (Janzen, Howard E.)"
"Loberg, Michael D.","ArQule, Inc. - Former Independent Director","Inotek Pharmaceuticals Corporation (Ruch, Joshua )"
"LoBiondo, Leonard",Kroll Catalyst Partners LLC - Principal,"NRG Energy, Inc. (NYSE:NRG) (Luterman, Gerald )"
"Lobo Sonder, Claudio Thomaz","Suzano Holding S.A. - Deputy CEO, Vice-Chairman of the Board and Member of the Executive Officers Board","Celanese Corporation (NYSE:CE) (Chu, Chinh E.), Celanese Corporation (NYSE:CE) (Quella, James Andrew), Celanese Services Germany GmbH (Chu, Chinh E.)"
"Lochner Jr., Philip R.",Crane Co. - Former Independent Director,"Solutia Inc. (Davis, Eugene Irwin)"
"Lochner, James V.","Tyson Foods, Inc. - Former Chief Operating Officer","Tyson Foods, Inc. (NYSE:TSN) (Jones, David A.)"
"Lochtenberg, Mark Hamish",Arete Capital Partners - Senior Advisor,"Walter Energy, Inc. (OTCPK:WLTG.Q) (Clark, Howard L.), Walter Energy, Inc. (OTCPK:WLTG.Q) (Clark, Lawrence M.), Walter Energy, Inc. (OTCPK:WLTG.Q) (Durham, G. Robert)"
"Lock, Gregory ",UBM plc - Non-Executive Chairman,"UBM plc (Hollick, Clive R.)"
"Lockburner, Thomas C.","Knight Capital Group, Inc. - Former Director","Knight Capital Group, Inc. (Sanfilippo, Anthony Mark)"
"Lockhart CPA, Harry Eugene","Mission Operators Group - Managing Partner, Managing General Partner, Founder and Chairman","RJR Acquisition Corp. (Thomas, Barbara Susan)"
"Lockhart, Dennis P.",Invesco Mortgage Capital Inc. - Independent Non-Executive Director,"CapitalSource Inc. (Kilrea, Jeffrey ), PrimeRevenue, Inc. (Robinson, James D.)"
"Lockman, Dave","EnerCrest, Inc. - Member of Science Team","EnerCrest, Inc. (Hirschfield, Alan J.)"
"Lockwood, Bryan G.",Xperience Restaurant Group - Chief Executive Officer,"Real Mex Restaurants, Inc. (Friedman, Brian Paul)"
"Lockyer, Gavin John","Arafura Resources Limited - CEO, MD & Director","Arafura Resources Limited (ASX:ARU) (Forrest, John Andrew Henry)"
"Lockyer, Phillip Clive",GR Engineering Services Limited - Independent Non-Executive Chairman,"Focus Minerals Limited (ASX:FML) (Burston, Ian Fred)"
"Lodato, Joseph",NYU Langone Hospital-Brooklyn - Member of Board of Trustees,"NYU Lutheran Medical Center (Luterman, Gerald )"
"Loder, Barry C.","CyberWize.com, Inc. - Former Chief Executive Officer","Companyfinance.com, Inc. (Schmitz, Clarence T.)"
"Lodge III, H. Cabot","Rand Logistics, Inc. - Director","High Voltage Engineering Corporation (Davis, Eugene Irwin)"
"Lodge J.D., Ted S.","NEON Communications Group, Inc. - Executive Chairman","Haights Cross Communications, Inc. (Davis, Eugene Irwin), ION Media Networks, Inc. (Davis, Eugene Irwin), RDA Holding Co. (Matthews, Norman S.), RDA Holding Co. (Williams, Thomas Arthur)"
"Lodge, Jane Ann",DCC plc - Independent Non-Executive Director,"Sirius Minerals Plc (LSE:SXX) (Catlow, Christopher James), Sirius Minerals Plc (LSE:SXX) (Scrimshaw, Russell John)"
"Lodge, Timothy ",Nidera B.V. - Former Chief Financial Officer,"Tate & Lyle plc (LSE:TATE) (Kamsky, Virginia A.)"
"Lodwick, Lyle C.",Pacific Crest Capital Inc. - Former Executive Vice President,"Sunwest Bank (Gray, Glenn E.)"
"Loeb, Daniel Seth","Third Point Ventures L.P. - Founder, Chief Executive Officer, Chairman and Director","Third Point Reinsurance Ltd. (NYSE:TPRE) (Fass, Steven Elliott)"
"Loeb, Jan H.","Acorn Energy, Inc. - President, CEO & Director","Kid Brands, Inc. (OTCPK:KIDB.Q) (Rovit, Hugh R.)"
"Loeffler Esq., Thomas G.",Loeffler Tuggey Pauerstein Rosenthal LLP - Senior Partner,"Wilhelmina International, Inc. (NasdaqCM:WHLM) (Cunningham, William H.)"
"Loeffler, Martin H.",Amphenol Corporation - Independent Chairman,"Amphenol Corporation (NYSE:APH) (Durham, G. Robert)"
"Loeffler, Nancy B.",Southwest Airlines Co. - Independent Director,"Southwest Airlines Co. (NYSE:LUV) (Cunningham, William H.)"
"Loehnis, Anthony D.",St. James's Place plc - Former Non Independent Non-Executive Director ,"St. James's Place plc (LSE:STJ) (Sorkin, Michael)"
"Loepp, Daniel Joseph",Blue Cross Blue Shield of Michigan Mutual Insurance Company - President & CEO,"Business Leaders for Michigan (Wagoner, G. Richard)"
"Loessberg J.D., Shari",Quona Capital Management Ltd. - Member of Advisory Council,"NFP Corp. (Baird, Patrick Steven)"
"Loevner, Kirk","Epocrates, Inc. - Former Chairman, Chief Executive Officer and President","Pinnacor Inc. (Robinson, James D.)"
"Lofberg, Per G. H.","Generation Health, Inc. - Co-Founder & Chairman","Medco Health Solutions, Inc. (Goldstein, Michael )"
"Lofe Jr., Donald Paul",PMI Mortgage Insurance Co. - Director,"FGIC Corporation (Chu, Chinh E.), Financial Guaranty Insurance Company (Borges, Francisco Lopes), Financial Guaranty Insurance Company (Chu, Chinh E.)"
"Loftus-Hills, Geoffrey Dean",NGM Resources Pty Ltd. - Former Non-Executive Chairman,"Aviva Corp. Ltd. (Burston, Ian Fred)"
"Logan Jr., Harold R.","National Energy Resources Acquisition Company - Secretary, Treasurer and Director","The Houston Exploration Company (Luterman, Gerald )"
"Logan, James ","On-Demand Audio, Inc. - Founder And Chief Executive Officer","Andover.Net, Inc. (Shepherd, Thomas R.)"
"Logan, Robert Andrew",Downer EDI Limited - Former Chief Executive Officer of Mining Division,"Panoramic Resources Limited (ASX:PAN) (Cernotta, Nicholas Luigi)"
"Loggia, Joseph ","Advanstar Communications, Inc. - Chief Executive Officer, President and Director","Advanstar Communications, Inc. (Quella, James Andrew), Advanstar, Inc. (Quella, James Andrew)"
"Logue, Dennis E.","Ledyard Financial Group, Inc. - Former Chairman of the Board","ALCO Stores, Inc. (Gfeller, Warren H.)"
"Loh, Kee Kong ",Finbar Group Limited - Non-Executive Director,"Cedar Woods Properties Limited (ASX:CWP) (Pearce, Stephen Thomas)"
"Lohman, David M.","Banc of America Securities LLC, Research Division - Research Analyst","Penwest Pharmaceuticals Co. (Davis, Eugene Irwin)"
"Lohr Jr., Walter G.",Danaher Corporation - Independent Director,"iSKY, Inc. (Gilbert, Steven J.)"
"Lohrisch, Hans-Joachim ","Takeda GmbH - Chief Executive Officer, President and Head of the Board of Management","Nycomed SICAR S.C.A. (Chu, Chinh E.), Takeda Pharmaceuticals International AG (Chu, Chinh E.)"
"Loiacono, Vincent ","Sysorex, Inc. - Chief Financial Officer","TerreStar Corporation (Davis, Eugene Irwin), TerreStar Networks, Inc. (Davis, Eugene Irwin)"
"Lomasky, Jeffrey Lawrence","Cerberus Capital Management, L.P. - CFO & Senior MD","Ally Financial Inc. (NYSE:ALLY) (Wagoner, G. Richard)"
"Lomax, Janis Rachel",Serco Group plc - Independent Non-Executive Director,"Reinsurance Group of America, Incorporated (NYSE:RGA) (Launer, Leland Convis), Reinsurance Group of America, Incorporated (NYSE:RGA) (Tweedie, Lemuel John Hamilton)"
"Lombardi, Bruce W.",Lombardi & Co. Inc - President & CEO,"Lombardi & Co. Inc (Fulvio, Gennaro John)"
"Lombardi, Paul V.",CSC Applied Technologies LLC - Chief Executive Officer and President,"DynCorp Inc. (Thompson, H. Brian)"
"Lombardi, Richard J.","LCC International, Inc. - Independent Director","LCC International, Inc. (Gilbert, Steven J.)"
"Lombardini, Maxime ",iliad S.A. - Deputy Chairman,"Télévision Française 1 SA (ENXTPA:TFI) (Pélisson, Gilles Christian Gérard)"
"Lombardo, Jerry",Ditech Holding Corporation - Executive VP & CFO,"Refco, Inc. (Jaeckel, Scott L.), Refco, Inc. (Schoen, Scott A.)"
"Lomo, Leif","Media General, Inc. - Former Director","Media General, Inc. (Davis, Eugene Irwin)"
"London, Michael ",Caerus Ventures - Member of Advisory Board,"Caerus Ventures (Jordan, John Weaver)"
"London, Terry E.","Pier 1 Imports, Inc. - Independent Non-Executive Chairman","Tri-Artisan Acquisition Corp. (Goldstein, Michael )"
"Lonergan, Edward F.","New Mountain Capital, L.L.C - Senior Advisor","The Schwan Food Company, Inc. (Bowlin, John D.)"
"Lonergan, Michael ",Pilot Energy Limited - Non-Executive Director,"Pilot Energy Limited (ASX:PGY) (Pearce, Stephen W.)"
"Lonergan, Simon P.",Behrman Capital - Managing Partner,"GPC Capital Corp II (Chu, Chinh E.), Graham Packaging Company, L.P. (Chu, Chinh E.), Graham Packaging Company, L.P. (Quella, James Andrew)"
"Loney, John Eric",Triton Minerals Limited - Former Non-Executive Chairman,"Triton Minerals Limited (ASX:TON) (Catlow, Christopher James)"
"Long Jr., Robert E.","Triad Opportunity I, LLC - Director","Clark, Inc. (Benson, James Michael)"
"Long Jr., Theodore W.",North Carolina Mutual Life Insurance Company - Director,"ASW Global, LLC (Lupo, John S.), North Carolina Mutual Life Insurance Company (Archer, Dennis Wayne)"
"Long, Charles ","Arthur J. Gallagher Risk Management Services, Inc. - Senior Vice President and Renewable Energy & Clean Technology Practice Leader","Alliant Insurance Services, Inc. (Chu, Chinh E.)"
"Long, Charles E.",Atlas Copco North America LLC - Director,"Gendux Pharmaceuticals Ltd. (Cunningham, William H.), Introgen Therapeutics Inc. (Cunningham, William H.), Walter Energy, Inc. (OTCPK:WLTG.Q) (Clark, Howard L.), Walter Energy, Inc. (OTCPK:WLTG.Q) (Clark, Lawrence M.), Walter Energy, Inc. (OTCPK:WLTG.Q) (Durham, G. Robert)"
"Long, Elizabeth Valk",The J. M. Smucker Company - Former Director,"Edgewell Personal Care Company (NYSE:EPC) (DeFeo, Neil P.), Jefferson-Pilot Corporation (Cunningham, William H.)"
"Long, James R.",3Com Corporation - Director,"NCR Corporation (NYSE:NCR) (Chu, Chinh E.)"
"Long, Nicholas Thompson",Amcor plc - Independent Non-Executive Director,"Miller Brewing Company (Bowlin, John D.)"
"Long, Richard ","Center for Diagnostic Imaging, Inc. - Chief Executive Officer and President","Insight Health Corp. (Davis, Eugene Irwin), Insight Health Services Holdings Corp. (Davis, Eugene Irwin)"
"Longhi, Filho Mario",ITT Inc. - Independent Director,"RTI International Metals, Inc. (Holiday, Edith E.)"
"Longo, Albert ",Orinoco Gold Limited - Chief Financial Officer,"Allied Gold Mining Limited (Caruso, Mark Victor), Allied Gold Mining Limited (Lymburn, David Andrew), Allied Gold Mining Limited (Steemson, Gregory Hugh)"
"Longon, Stephen Dale","EPL Oil & Gas, Inc. - Former Chief Operating Officer and Executive Vice President","EPL Oil & Gas, Inc. (Bumgarner, John C.)"
"Longoria, Janiece M.","Superior Energy Services, Inc. - Independent Director","Patriot Coal Corporation (Davis, Eugene Irwin)"
"Longstreth, Bevis",Grantham Mayo Van Otterloo & Co. LLC - Director,"Invesco Ltd. (NYSE:IVZ) (Wagoner, G. Richard)"
"Longsworth, Charles R.",FlightSafety International Inc. - Director,"Houghton Mifflin Harcourt Publishing Company (Brizius, Charles A.), Houghton Mifflin Harcourt Publishing Company (Goldstein, Michael ), Houghton Mifflin Harcourt Publishing Company (Quella, James Andrew)"
"Lonsway, Michael E.","Forest City Ratner Companies, LLC - Executive VP & CFO","Forest City Ratner Companies, LLC (Gilmartin, MaryAnne )"
"Looney, David R.",Murphy Oil Corporation - Executive VP & CFO,"EPL Oil & Gas, Inc. (Bumgarner, John C.), Goodrich Petroleum Corporation (AMEX:GDP) (Davis, Eugene Irwin)"
"Loos Gaicd, Rene Van Der",Sydney Ports Corporation - Former Director,"Sydney Ports Corporation (Bingham-Hall, Penelope )"
"Loo-Tam, Diomedes","Franklin Resources, Inc. - Former Treasurer","Franklin Limited Duration Income Trust (AMEX:FTF) (Holiday, Edith E.), Franklin Limited Duration Income Trust (AMEX:FTF) (MacKlin, Gordon S.), Franklin Limited Duration Income Trust (AMEX:FTF) (Olson, Frank A.), Templeton Dragon Fund, Inc. (NYSE:TDF) (Holiday, Edith E.), Templeton Dragon Fund, Inc. (NYSE:TDF) (MacKlin, Gordon S.) and 1 Other Connection"
"Loots, Andrew C.",Kumba Iron Ore Limited - Executive Head of Operations,"Kumba Iron Ore Limited (JSE:KIO) (Pearce, Stephen Thomas)"
"López Colmenarejo, Manuel",IBERIA LAE SA - Corporate Affairs Manager and Member of Management Board,"Amadeus IT Group, S.A. (BME:AMS) (Bourigeaud, Bernard André Joseph)"
"López Fernebrand, Tomás ","Amadeus IT Group, S.A. - Senior VP, General Counsel & Corporate Secretary","Amadeus Capital Markets, S.A., Sociedad Unipersonal (Bourigeaud, Bernard André Joseph)"
"Lopez, Alicia R.","Global Med Technologies, Inc. - Director","Global Med Technologies, Inc. (Gilmore, Robert Russell)"
"Lopez, Connie Ann",Great Lakes Casualty Insurance Company - Former Director,"Great Lakes Casualty Insurance Company (Kemp, Karl Thomas)"
"Lopez, David Ruben",BancFirst Corporation - Independent Director,"BOK Financial Corporation (NasdaqGS:BOKF) (Bailey, Keith E.), BOK Financial Corporation (NasdaqGS:BOKF) (Janzen, Howard E.), BOK Financial Corporation (NasdaqGS:BOKF) (Malcolm, Steven J.), BOKF, National Association (Malcolm, Steven J.)"
"Lopez, Gerardo I.","AMC Entertainment International, Inc. - CEO, President & Director","Newell Brands Inc. (NasdaqGS:NWL) (Martin, Douglas L.)"
"López, Humberto Latorraca","Trade Street Operating Partnership, LP - Chief Financial Officer","BankUnited, FSB (Chu, Chinh E.)"
"Lopez, Jesus Fernandez ",Galena Asset Management Ltd. - Principal,"Atalaya Mining Plc (AIM:ATYM) (Toll, Gordon Leonard)"
"Lopez, John C.","Lopez Foods, Inc. - Owner and Chairman Emeritus","BOK Financial Corporation (NasdaqGS:BOKF) (Bailey, Keith E.), BOK Financial Corporation (NasdaqGS:BOKF) (Janzen, Howard E.), BOK Financial Corporation (NasdaqGS:BOKF) (Malcolm, Steven J.)"
"Lopez, Marco ",ChyronHego Corporation - Former Chief Executive Officer,"ChyronHego Corporation (Hirschfield, Alan J.)"
"Lopez, Peter Orlando","Granite Investment Partners, LLC - Principal and Portfolio Manager","Transamerica Investment Management, LLC (Baird, Patrick Steven)"
"López-Elola González, José María","NH Hotel Group, S.A. - Former Independent Director","NH Hotel Group, S.A. (BME:NHH) (Pélisson, Gilles Christian Gérard)"
"López-Monís Gallego, Mónica ","Banco Santander, S.A. - Group Head of Supervisory and Regulatory Relations","Santander Consumer USA Holdings Inc. (NYSE:SC) (Holiday, Edith E.)"
"Lora, Melissa Bates",KB Home - Lead Independent Director,"MGIC Investment Corporation (NYSE:MTG) (Lubar, Sheldon Bernard)"
"Lorato, Roberto ",PT Medco Energi Internasional Tbk - CEO & Director,"PT Medco Energi Internasional Tbk (IDX:MEDC) (Chan, Lap Wai)"
"Lorback, Matthew Christopher",Vantage Infrastructure Holdings Limited - Investment Director for Global Asset Management,"Perth Airport Pty Ltd (Power, Neville Joseph)"
"Lorch, George A.",Masonite International Corporation - Former Independent Director,"The Williams Companies, Inc. (NYSE:WMB) (Bailey, Keith E.), The Williams Companies, Inc. (NYSE:WMB) (Malcolm, Steven J.), The Williams Companies, Inc. (NYSE:WMB) (Meinig, Peter C.), WPX Energy, Inc. (NYSE:WPX) (Malcolm, Steven J.)"
"Lord J.D., Hilary Gillian Darcy","Metropolitan West Asset Management, LLC - Chief Compliance Officer","TCW Asset Management Company (Beyer, Robert David), The TCW Group, Inc. (Beyer, Robert David)"
"Lord Jr., Clifford W.",CalWest Bancorp - Former Independent Director,"CalWest Bancorp (OTCPK:CALW) (Gray, Glenn E.), CalWest Bank (Gray, Glenn E.)"
"Lord, Ellen",United Industrial Corporation - Chief Operating Officer,"United Industrial Corporation (Schoen, Scott A.)"
"Lord, John R.",Amphenol Corporation - Former Independent Director,"Amphenol Corporation (NYSE:APH) (Durham, G. Robert)"
"Lord, John S.",Alfred I. duPont Testamentary Trust - Trustee,"Florida East Coast Industries, LLC (Jordan, James Edward), The St. Joe Company (NYSE:JOE) (Berkowitz, Bruce Robert), The St. Joe Company (NYSE:JOE) (Keil, Jeffrey Craig)"
"Lord, Lance W.","Aerojet Rocketdyne Holdings, Inc. - Independent Director","Astrotech Corporation (NasdaqCM:ASTC) (MacKlin, Gordon S.)"
"Loredan, Francesco ","Amadeus IT Group, S.A. - Director","Amadeus IT Group, S.A. (BME:AMS) (Bourigeaud, Bernard André Joseph)"
"Loren Ph.D., Stefan D.","Cellectar Biosciences, Inc. - Independent Director","Cellmark Forensics, Inc. (Davis, Eugene Irwin), GenVec, Inc. (Ruch, Joshua )"
"Loren, Allan Z.",Ponte Vedra Beach Capital LLC - Operating Partner,"The Dun & Bradstreet Corporation (Chu, Chinh E.), The Dun & Bradstreet Corporation (Foley, William Patrick), The Dun & Bradstreet Corporation (Massey, Richard Nelson), The Dun & Bradstreet Corporation (Quella, James Andrew)"
"Lorentz, Francis","Amadeus IT Group, S.A. - Former Director","Amadeus IT Group, S.A. (BME:AMS) (Bourigeaud, Bernard André Joseph)"
"Lorentzian, Raffy ","Youngevity International, Inc. - VP & Controller","National Technical Systems Inc. (Tringali, Donald J.)"
"Lorenzetti, Greg ",Inseego Corp. - Former Lead Director,"Inseego Corp. (NasdaqGS:INSG) (Falcone, Philip Alan)"
"Lorenzini CPA, Phillip ","Edgewater Services, LLC - Partner","The Edgewater Funds (Jordan, John Weaver)"
"Lorenzini, Court V.","MetaBrite, Inc. - CEO & Director","DocuSign, Inc. (NasdaqGS:DOCU) (Wagoner, G. Richard)"
"Loria, Emile ","Biotech Synergy, Inc. - Founder","OSE Immunotherapeutics SA (ENXTPA:OSE) (Pélisson, Gilles Christian Gérard)"
"Lorimer, Linda Koch",Pearson plc - Independent Non-Executive Director,"Sprint Corporation (NYSE:S) (Ianna, Frank )"
"Loring, Ian K.","Bain Capital Private Equity, LP - Managing Director","FIS Data Systems Inc. (Chu, Chinh E.), iHeartCommunications, Inc. (Brizius, Charles A.), iHeartMedia Capital I, LLC (Brizius, Charles A.), iHeartMedia, Inc. (OTCPK:IHRT.Q) (Brizius, Charles A.), SunGard (Chu, Chinh E.) and 5 Other Connections"
"Loring, John C.","newAX, Inc. - Chief Executive Officer, President, and Chairman","Elah Holdings, Inc. (OTCPK:ELLH) (Matthews, Norman S.)"
"Losada-Calderon, Alejandro",Number Company S.A.C. - Vice President of Exploration,"Arafura Resources Limited (ASX:ARU) (Forrest, John Andrew Henry)"
"Loscalzo M.D., Joseph",Mass General Brigham Incorporated - Former Director,"Partners HealthCare System, Inc. (Schoen, Scott A.)"
"Losh, John Michael","Cardinal Health, Inc. - Independent Director","Ally Financial Inc. (NYSE:ALLY) (Wagoner, G. Richard), DIRECTV, LLC (Wagoner, G. Richard), Masco Corporation (NYSE:MAS) (Archer, Dennis Wayne)"
"Losier, Denis ",Canadian National Railway Company - Independent Director,"Canadian National Railway Company (TSX:CNR) (Holiday, Edith E.)"
"Lotan, Noam ","Optical Access, Inc. - Former Director","MRV Communications, Inc. (Glazer, Edward S.)"
"Lotman, Herbert ",Keystone Foods LLC - Founder and Chairman,"Standard Diversified Opportunities Inc. (Estus, Ian W.)"
